Tofu Vegetable Soup Shopping List
-----
Tofu                     8 oz
Button Mushroom          4 Pieces
Bok Choy                 4 Leafy Stems
Garlic                   4 Cloves
Bean Sprouts             1 Cup
Red Radish               3 Pieces
Soy Sauce                2 Tablespoon
Chikcen Stock            2 Tablespoon
Rice Vinegar             1 Tablespoon
Chili Paste              2 Teaspoon
Black Pepper             2 Teaspoon
Dry White Wine           1 Half Cup
Sesame Oil               1 Tablespoon
Vegetable Oil            1 Tablespoon
